orderid,productid,userid,rating
1,202214397,10001,4
1,202214400,10001,4.3
1,202214393,10001,3.3
1,202214394,10001,5
1,202214393,10001,0
2,202214396,10002,3.1
2,202214391,10002,4.6
2,202214398,10002,4.6
2,202214397,10002,3
2,202214399,10002,2.3
3,202214399,10003,4.3
3,202214392,10003,3.3
3,202214393,10003,4
3,202214396,10003,3.9
3,202214393,10003,3.4
4,202214398,10004,4.2
4,202214396,10004,3.9
4,202214397,10004,0
4,202214400,10004,4.5
4,202225965,10004,4.4
5,202225973,10005,4.7
5,202225969,10005,3.6
5,202225957,10005,0
5,202225973,10005,4.1
5,202225964,10005,2.8
6,202225972,10006,3.2
6,202225975,10006,2.6
6,202225964,10006,2.4
6,202225957,10006,3
6,202225966,10006,2.6
7,202225973,10007,3.6
7,202225975,10007,2.9
7,202225961,10007,3.4
7,202225965,10007,3.4
7,202225971,10007,0
8,202225973,10008,4.8
8,202225971,10008,3.1
8,202225967,10008,4.5
8,202225963,10008,4.3
8,202214349,10008,2.3
9,202214340,10009,2.4
9,202214342,10009,4.4
9,202214344,10009,3.1
9,202214347,10009,4.4
9,202214346,10009,2.5
10,202214344,10010,3.3
10,202214348,10010,3.4
10,202214341,10010,4.6
10,202214343,10010,3.1
10,202214346,10010,2.5
11,202214348,10011,4.7
11,202214342,10011,2.9
11,202214342,10011,3
11,202214341,10011,3.9
11,202214348,10011,2.7
12,202214348,10012,4.3
12,202214341,10012,4.5
12,202214350,10012,3.8
12,202214349,10012,3.8
12,202214555,10012,4.8
13,202214547,10013,3.8
13,202214553,10013,2.6
13,202214552,10013,3.8
13,202214556,10013,2.4
13,202214550,10013,3.6
14,202214550,10014,2.7
14,202214556,10014,0
14,202214552,10014,3.8
14,202214552,10014,2.6
14,202214554,10014,3
15,202214552,10015,3.5
15,202214552,10015,4.8
15,202214555,10015,4.7
15,202214556,10015,3
15,202214555,10015,2.3
16,202214549,10016,2.8
16,202214545,10016,3.8
16,202214550,10016,4.1
16,202214550,10016,2.5
16,202225975,10016,3.2
17,202225961,10017,4.1
17,202225965,10017,2.7
17,202225971,10017,4.3
17,202225973,10017,2.7
17,202225971,10017,4.2
18,202225967,10018,3.7
18,202225963,10018,2.8
18,202214349,10018,3.3
18,202214340,10018,2.8
18,202214342,10018,3.4
19,202214344,10019,2.7
19,202214347,10019,3.4
19,202214346,10019,3.5
19,202214344,10019,4.5
19,202214348,10019,4.2
20,202214341,10020,2.9
20,202214343,10020,2.5
20,202214346,10020,4.1
20,202214348,10020,3.8
20,202214399,10020,4.6
21,202214399,10021,0
21,202214392,10021,3.8
21,202214393,10021,4.6
21,202214396,10021,3.7
21,202214393,10021,2.7
22,202214398,10022,4.5
22,202214396,10022,3.3
22,202214397,10022,2.7
22,202214400,10022,2.4
22,202225965,10022,2.9
23,202225973,10023,4.1
23,202225969,10023,3.9
23,202225957,10023,3.6
23,202225973,10023,2.7
23,202225964,10023,3.9
24,202225972,10024,3
24,202225975,10024,4.2
24,202225964,10024,3.6
24,202225957,10024,4
24,202214342,10024,3.3
25,202214341,10025,2.9
25,202214348,10025,3
25,202214348,10025,2.6
25,202214341,10025,3.6
25,202214350,10025,4.8
26,202214349,10026,3.9
26,202214555,10026,5
26,202214547,10026,4.6
26,202214553,10026,0
26,202214552,10026,3.6
27,202214556,10027,4.4
27,202214550,10027,4
27,202214550,10027,3.3
27,202214556,10027,2.3
27,202214552,10027,4.6
28,202214552,10028,4.3
28,202214554,10028,3
28,202214552,10028,4.1
28,202214552,10028,3
28,202220317,10028,5
29,202219429,10029,2.4
29,202220820,10029,4.4
29,202220214,10029,2.8
29,202219100,10029,3.7
29,202219493,10029,3.1
