,id,name,price,mrp,variant,stock,image_url
0,SMPEPGKYW9GZWYVT, Clinic Plus Strong & Thick Health Shampoo, 179.0, 189.0, 340 ml, 230.0, https://rukminim1.flixcart.com/image/280/280/jepzrm80/shampoo/y/v/t/340-strong-thick-health-shampoo-clinic-plus-original-imaf3chzdyutrjhs.jpeg?q=70
1,BWSFH4YQYC9RSNZU, DOVE Deeply Nourishing Body Wash, 360.0, 360.0, 800 ml, 491.0, https://rukminim1.flixcart.com/image/280/280/jwkzwy80/body-wash/n/z/u/800-deeply-nourishing-body-wash-dove-original-imafh8h4znbzrwk6.jpeg?q=70
2,EDOEVT5UGZXJYAHU, EMAMI Healthy & Tasty Refined Rice Bran Oil Pouch, 167.0, 180.0, 1 L, 783.0, https://rukminim1.flixcart.com/image/280/280/j98t0280/edible-oil/a/h/u/1-healthy-tasty-refined-pouch-rice-bran-oil-emami-original-imaez2wzhzuzcuyv.jpeg?q=70
3,FLRETEFHF5EK5ECT, Tata Sampann Fine Besan, 19.0, 64.0, 500 g, 793.0, https://rukminim1.flixcart.com/image/280/280/klscivk0/flour/s/g/p/fine-besan-besan-tata-sampann-original-imagytt7a29fp2ds.jpeg?q=70
4,BFRFVEHYQQMAZXKY, Colgate Vedshakti Mouth Protect Spray, 99.0, 99.0, 10 g, 817.0, https://rukminim1.flixcart.com/image/280/280/kesv0y80/breath-freshener/x/k/y/10-61009781-colgate-original-imafvesczq42gwg8.jpeg?q=70
5,GHEF8H3BTFPX6HFD, Ananda Ghee 100 ml Carton, 51.0, 55.0, 100 ml Carton, 859.0, https://rukminim1.flixcart.com/image/280/280/jqgy3rk0/ghee/h/f/d/100-na-carton-ananda-original-imafcgnjsqygusew.jpeg?q=70
6,SATET96PTFPYSQWM, Tata Iodized Salt, 21.0, 21.0, 1 kg, 703.0, https://rukminim1.flixcart.com/image/280/280/jq4353k0/salt/q/w/m/1-na-iodized-salt-tata-original-imafc7agxkbypvgr.jpeg?q=70
7,SMPF9HSZPAJQR8BW, DOVE Intense Repair Shampoo, 799.0, 799.0, 1 L, 645.0, https://rukminim1.flixcart.com/image/280/280/kgtqhe80/shampoo/8/b/w/1-intense-repair-shampoo-dove-original-imafwyuvhxswznzn.jpeg?q=70
8,NDLF4PEEBRZJ3KAY, Maggi Masala Instant Noodles Vegetarian, 133.0, 144.0, 12x70 g, 984.0, https://rukminim1.flixcart.com/image/280/280/k40798w0/noodle/k/a/y/840-masala-instant-noodles-maggi-original-imafny8hdrgrm7jd.jpeg?q=70
9,FLRETEFHENWKNJQE, Pillsbury Chakki Fresh Atta, 1.0, 57.0, 1 kg, 990.0, https://rukminim1.flixcart.com/image/280/280/kohigsw0/flour/j/f/a/chakki-fresh-atta-whole-wheat-flour-pillsbury-original-imag2xggzcbnrchc.jpeg?q=70
10,NDFFZCQWZAEZRGYA, Farmley Premium California Almonds, 1.0, 149.0, 100 g, 375.0, https://rukminim1.flixcart.com/image/280/280/kjvrdzk0/nut-dry-fruit/c/z/n/100-premium-california-pouch-farmley-original-imafzcqwnmnzr3xp.jpeg?q=70
11,ASLE8PZZD6CSETXF, NIVEA Sensitive Cooling After Shave Lotion, 242.0, 269.0, 100 ml, 716.0, https://rukminim1.flixcart.com/image/280/280/k6s82vk0/aftershave-lotion/t/x/f/100-sensitive-cooling-after-shave-lotion-nivea-men-original-imafp5s6jrcgjts2.jpeg?q=70
12,EDOEUHJMAUZG6ZVT, Fortune Refined Soyabean Oil Pouch, 175.0, 200.0, 1 L, 576.0, https://rukminim1.flixcart.com/image/280/280/k7usyvk0/edible-oil/z/v/t/1-refined-pouch-soyabean-oil-fortune-original-imafpzwh4nghmzxq.jpeg?q=70
13,CKBEUHBPBKGMEFS8, BRITANNIA Premium Sooji Rusk, 36.0, 40.0, 273 g, 840.0, https://rukminim1.flixcart.com/image/280/280/k8j3gcw0/rusk/f/s/8/273-premium-sooji-rusk-britannia-original-imafqgw94jy2jqnx.jpeg?q=70
14,WBRFJ555XAZ3T8FY, Ghadi Detergent Bar, 40.0, 40.0, 5x160 g, 146.0, https://rukminim1.flixcart.com/image/280/280/jz30nm80/washing-bar/8/f/y/detergent-cake-800-ghadi-original-imafj68mf4x32rr4.jpeg?q=70
15,ASLE4M5ZZFKXVZQ8, NIVEA Men Sensitive After Shave Lotion, 224.0, 249.0, 100 ml, 228.0, https://rukminim1.flixcart.com/image/280/280/jtbtt3k0/aftershave-lotion/z/q/8/100-men-sensitive-after-shave-lotion-nivea-original-imafeph7s7fxxtjz.jpeg?q=70
16,HWSEUC75YJGVJFEF, DETTOL Original Liquid Hand Wash Refill Pouch, 103.0, 109.0, 0.75 L, 237.0, https://rukminim1.flixcart.com/image/280/280/jzn0tjk0/hand-wash-sanitizer/k/d/r/2250-original-liquid-hand-wash-refill-pouch-dettol-original-imafjhxuytp4cmek.jpeg?q=70
17,DWBEU6M6QFC68UHQ, Vim Dishwash Bar, 40.0, 40.0, 3x200 g, 982.0, https://rukminim1.flixcart.com/image/280/280/joen7gw0/dish-washing-bar/u/h/q/na-3-600-vim-original-imafavhfguzm8yvg.jpeg?q=70
18,TEAETM5TCX2WXST8, Tata Teaveda Ayurvedic Goodness Brahmi, Tulsi Tea Box, 96.0, 126.0, 250 g Box, 442.0
19,CNDD9FZ3FU4XYHZW, DOVE Daily Shine Conditioner, 161.0, 190.0, 180 ml, 595.0, https://rukminim1.flixcart.com/image/280/280/j9pyaa80/conditioner/h/z/w/180-daily-shine-conditioner-dove-original-imaezgj7djfpqjbz.jpeg?q=70
