,Category,Sub Category,Brand Name,Product Rating,Product Name,Name,Weight,MRP/Unit,Qnty,Unit Qnty,Cost Price,Product ID
0,"Food Grains, Oli and Masala",Rava,24 Mantra Organic,3,TWENTY FOUR ORG IDLY RAVA 500g,TWENTY FOUR ORG IDLY RAVA ,500g,55.0,2.0,1.0,83.78,202212001.0
1,"Food Grains, Oli and Masala",Flour,24 Mantra Organic,3,TWENTY FOUR RAGI FLOUR 500g,TWENTY FOUR RAGI FLOUR ,500g,70.0,2.0,1.0,106.64,202212002.0
2,"Food Grains, Oli and Masala",Staples,24 Mantra Organic,3,TWENTY FOUR ORG RED POHA 500g,TWENTY FOUR ORG RED POHA ,500g,75.0,2.0,1.0,119.97,202212003.0
3,Gourmet Foods,"Tomato Ketchup , Sauces and Spreads",American Garden,3,A G CHUNKY PEANUT BUTTER 510g,A G CHUNKY PEANUT BUTTER ,510g,399.0,2.0,1.0,608.96,202212004.0
4,Personal Care,Ear Buds,Johnsons and Johnsons,4,A-ONE EAR BUDS JAR SMALL 15g,A-ONE EAR BUDS JAR SMALL ,15g,55.0,6.0,1.0,221.52,202212005.0
5,Snacks & Namkeen,Branded Snacks,Aakash,2,AAKASH UJJAIN SEV 350g,AAKASH UJJAIN SEV ,350g,75.0,2.0,1.0,113.84,202212006.0
6,"Food Grains, Oli and Masala",Flour,AASHIRVAAD ,4,AASHIRVAAD ATTA 10 kg,AASHIRVAAD ATTA ,10 kg,375.0,10.0,1.0,3028.5,202212007.0
7,"Food Grains, Oli and Masala",Flour,AASHIRVAAD ,4,AASHIRVAD SVSTI CGHEE1000ml,AASHIRVAD SVSTI CGHEE,1000ml,575.0,5.0,1.0,2231.2,202212008.0
8,Snacks & Namkeen,Branded Snacks,Act II,3,ACT II CHEESE&HERBS 60g,ACT II CHEESE&HERBS ,60g,30.0,4.0,1.0,91.05,202212009.0
9,Snacks & Namkeen,Branded Snacks,Act II,3,ACT II IPC CLASIC SLTD 30g,ACT II IPC CLASIC SLTD ,30g,10.0,1.0,15.0,121.75,202212010.0
10,Snacks & Namkeen,Branded Snacks,Act II,4,ACT II JALAPENO NACHOZ 60g,ACT II JALAPENO NACHOZ ,60g,35.0,6.0,1.0,146.1,202212011.0
11,Snacks & Namkeen,Branded Snacks,Act II,4,ACT II MOVIE THEATRE BUTR 450g,ACT II MOVIE THEATRE BUTR ,450g,120.0,2.0,1.0,194.8,202212012.0
12,Snacks & Namkeen,Branded Snacks,Act II,5,ACT II MW BTR LOVER POPCORN 297g,ACT II MW BTR LOVER POPCORN ,297g,195.0,3.0,1.0,474.84,202212013.0
13,Snacks & Namkeen,Branded Snacks,Act II,4,ACT II MW BT 495g,ACT II MW BT ,495g,280.0,2.0,1.0,454.54,202212014.0
14,Snacks & Namkeen,Branded Snacks,Act II,5,ACT II MW POPCORN BT 33g,ACT II MW POPCORN BT ,33g,25.0,11.0,1.0,223.19,202212015.0
15,Snacks & Namkeen,Branded Snacks,Act II,5,ACT II MW POPCORN BT LVR 33g,ACT II MW POPCORN BT LVR ,33g,25.0,11.0,1.0,219.6,202212016.0
16,Snacks & Namkeen,Branded Snacks,Act II,5,ACT II MW POPCORN BUTR LVR 99g,ACT II MW POPCORN BUTR LVR ,99g,70.0,6.0,1.0,316.08,202212017.0
