Category,Sub Category,Simplified Category,Brand Name,Product Name,Weight,MRP/Unit,Product ID,Image URL,Rating,No of Users Purchased
Snacks Branded Foods,Ready To Cook Eat,Groceries,iD Fresho,"Idly Dosa Batter, 1 Kg + Malabar Parota, 350 g",Combo 2 Items,155.0,202212001,https://www.bigbasket.com/media/uploads/p/s/1214118_1-id-fresho-idly-dosa-batter-1-kg-malabar-parota-350-g.jpg,4.4,59
Snacks Branded Foods,Ready To Cook Eat,Groceries,iD Fresho,Malabar Parota/Paratha,350 g Pouch ,80.0,202212002,https://www.bigbasket.com/media/uploads/p/s/30003294_14-id-fresho-malabar-parotaparatha.jpg,4.6,48
Snacks Branded Foods,Ready To Cook Eat,Groceries,iD Fresho,"Whole Wheat Parota, 350 g + Malabar Parota, 350 g",Combo 2 Items,160.0,202212003,https://www.bigbasket.com/media/uploads/p/s/1214119_1-id-fresho-whole-wheat-parota-350-g-malabar-parota-350-g.jpg,4.6,97
Snacks Branded Foods,Ready To Cook Eat,Groceries,iD,Wheat Chapati,350 g ,70.0,202212004,https://www.bigbasket.com/media/uploads/p/s/30003296_10-id-wheat-chapati.jpg,4.4,96
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Breakfast Mix - Khaman Dhokla,160 g Pouch,60.0,202212005,https://www.bigbasket.com/media/uploads/p/s/40001431_8-mtr-breakfast-mix-khaman-dhokla.jpg,4.5,60
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Breakfast Mix - Upma,160 g Pouch ,50.0,202212006,https://www.bigbasket.com/media/uploads/p/s/265956_5-mtr-breakfast-mix-upma.jpg,4.2,25
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Minute Pepper Rasam,60 g (Pack of 4),40.0,202212007,https://www.bigbasket.com/media/uploads/p/s/40200652_1-mtr-minute-pepper-rasam.jpg,4.6,92
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Minute Garlic Rasam,60 g ,40.0,202212008,https://www.bigbasket.com/media/uploads/p/s/40200651_1-mtr-minute-garlic-rasam.jpg,4.4,93
Snacks Branded Foods,Ready To Cook Eat,Groceries,TATA Q,Heat To Eat - Cheesy Pasta With Black Olives,290 g ,99.0,202212009,https://www.bigbasket.com/media/uploads/p/s/40180756_5-tata-q-heat-to-eat-cheesy-pasta-with-black-olives.jpg,4.9,64
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Masala - Pav Bhaji,100 g Pouch ,85.0,202212010,https://www.bigbasket.com/media/uploads/p/s/268007_16-mtr-masala-pav-bhaji.jpg,4.0,85
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Dal Makhani,300 g Carton,110.0,202212011,https://www.bigbasket.com/media/uploads/p/s/265983_6-mtr-ready-to-eat-dal-makhani.jpg,4.8,45
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Bisibele Bhath,300 g Carton,99.0,202212012,https://www.bigbasket.com/media/uploads/p/s/265997_5-mtr-ready-to-eat-bisibele-bhath.jpg,4.4,57
Snacks Branded Foods,Ready To Cook Eat,Groceries,Kitchens Of India,Ready to Eat - Dal Makhani,285 g Carton,110.0,202212013,https://www.bigbasket.com/media/uploads/p/s/100006780_2-kitchens-of-india-ready-to-eat-dal-makhani.jpg,4.3,53
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,Paneer Makhani Cooking Masala Paste,2x80 g Multipack ,150.0,202212014,https://www.bigbasket.com/media/uploads/p/s/1213551_2-itc-master-chef-paneer-makhani-cooking-masala-paste.jpg,4.0,71
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"Cooking Paste - Vegetable Biryani, Easy To Cook, Ready to Cook Indian Paste",80 g  ,75.0,202212015,https://www.bigbasket.com/media/uploads/p/s/40200613_2-itc-master-chef-cooking-paste-vegetable-biryani-easy-to-cook-ready-to-cook-indian-paste.jpg,4.2,34
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"All-Purpose Gravy - Onion Cashew, Pre-Cooked Indian Gravy",200 g  ,100.0,202212016,https://www.bigbasket.com/media/uploads/p/s/40200617_2-itc-master-chef-all-purpose-gravy-onion-cashew-pre-cooked-indian-gravy.jpg,4.3,33
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Palak Paneer,300 g ,135.0,202212017,https://www.bigbasket.com/media/uploads/p/s/265987_6-mtr-ready-to-eat-palak-paneer.jpg,4.9,85
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"All-Purpose Gravy - Tomato Makhani, Easy & Quick, Pre-Cooked Indian Gravy",200 g  ,100.0,202212018,https://www.bigbasket.com/media/uploads/p/s/40200615_2-itc-master-chef-all-purpose-gravy-tomato-makhani-easy-quick-pre-cooked-indian-gravy.jpg,4.8,42
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Vegetable Pulao,250 g Carton,115.0,202212019,https://www.bigbasket.com/media/uploads/p/s/265986_4-mtr-ready-to-eat-vegetable-pulao.jpg,5.0,64
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,Butter Chicken Cooking Masala Paste,2x80 g Multipack ,150.0,202212020,https://www.bigbasket.com/media/uploads/p/s/1213036_1-itc-master-chef-butter-chicken-cooking-masala-paste.jpg,4.5,83
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"All-Purpose Gravy - Korma Masala, Pre-Cooked Indian Gravy, No Preservatives",200 g  ,100.0,202212021,https://www.bigbasket.com/media/uploads/p/s/40200616_2-itc-master-chef-all-purpose-gravy-korma-masala-pre-cooked-indian-gravy-no-preservatives.jpg,4.7,93
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"Cooking Paste - Hyderabadi Biryani, Ready To Cook Indian Paste, No Preservatives",80 g  ,75.0,202212022,https://www.bigbasket.com/media/uploads/p/s/40200610_2-itc-master-chef-cooking-paste-hyderabadi-biryani-ready-to-cook-indian-paste-no-preservatives.jpg,4.3,64
Snacks Branded Foods,Ready To Cook Eat,Groceries,HappyChef,Thai Red Curry Kit,255 g ,225.0,202212023,https://www.bigbasket.com/media/uploads/p/s/40214336_2-happychef-thai-red-curry-kit.jpg,4.4,50
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Jeera Rice,250 g Carton,99.0,202212024,https://www.bigbasket.com/media/uploads/p/s/40001479_6-mtr-ready-to-eat-jeera-rice.jpg,4.5,57
Snacks Branded Foods,Ready To Cook Eat,Groceries,Kitchens Of India,Ready To Eat - Chicken Darbari,285 g ,200.0,202212025,https://www.bigbasket.com/media/uploads/p/s/40001332_2-kitchens-of-india-ready-to-eat-chicken-darbari.jpg,4.7,87
Snacks Branded Foods,Ready To Cook Eat,Groceries,Kitchens Of India,Ready to Eat - Pindi Chana,285 g Carton,110.0,202212026,https://www.bigbasket.com/media/uploads/p/s/40001308_6-kitchens-of-india-ready-to-eat-pindi-chana.jpg,4.9,68
Snacks Branded Foods,Ready To Cook Eat,Groceries,Kitchens Of India,Ready To Eat - Mughlai Paneer,285 g ,160.0,202212027,https://www.bigbasket.com/media/uploads/p/s/40001330_2-kitchens-of-india-ready-to-eat-mughlai-paneer.jpg,4.4,63
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Dal Fry,300 g Pouch,110.0,202212028,https://www.bigbasket.com/media/uploads/p/s/265998_5-mtr-ready-to-eat-dal-fry.jpg,4.3,94
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Muttar Paneer,300 g Carton,135.0,202212029,https://www.bigbasket.com/media/uploads/p/s/40001476_1-mtr-ready-to-eat-muttar-paneer.jpg,4.7,73
Snacks Branded Foods,Ready To Cook Eat,Groceries,Kitchens Of India,Ready To Eat - Rajma Masala,285 g Carton,110.0,202212030,https://www.bigbasket.com/media/uploads/p/s/40001309_5-kitchens-of-india-ready-to-eat-rajma-masala.jpg,4.7,32
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Rajma Masala,300 g ,110.0,202212031,https://www.bigbasket.com/media/uploads/p/s/40069170_1-mtr-ready-to-eat-rajma-masala.jpg,4.0,27
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Paneer Tikka Masala,300 g Carton,135.0,202212032,https://www.bigbasket.com/media/uploads/p/s/40001478_1-mtr-ready-to-eat-paneer-tikka-masala.jpg,4.1,53
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Mix - Paneer Butter Masala,300 g Pouch,135.0,202212033,https://www.bigbasket.com/media/uploads/p/s/265989_7-mtr-mix-paneer-butter-masala.jpg,4.2,62
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"Vegetable Biryani & Paneer Makhani Ready to Eat Cooking Masala Paste Combo, 80 g",Combo 2 Items,150.0,202212034,https://www.bigbasket.com/media/uploads/p/s/1213550_2-itc-master-chef-vegetable-biryani-paneer-makhani-ready-to-eat-cooking-masala-paste-combo-80-g.jpg,4.4,43
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Sambar Rice,300 g Carton,99.0,202212035,https://www.bigbasket.com/media/uploads/p/s/265974_5-mtr-ready-to-eat-sambar-rice.jpg,4.0,97
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"Tomato Makhani & Cashew Onion Ready to Eat All Purpose Gravy, 200 g",Combo 2 Items,200.0,202212036,https://www.bigbasket.com/media/uploads/p/s/1213035_1-itc-master-chef-tomato-makhani-cashew-onion-ready-to-eat-all-purpose-gravy-200-g.jpg,4.3,31
Snacks Branded Foods,Ready To Cook Eat,Groceries,MTR,Ready To Eat - Paneer Makhani,300 g Carton,135.0,202212037,https://www.bigbasket.com/media/uploads/p/s/265990_4-mtr-ready-to-eat-paneer-makhani.jpg,4.8,70
Snacks Branded Foods,Ready To Cook Eat,Groceries,Kitchens Of India,Ready To Eat - Murgh Methi,285 g ,220.0,202212038,https://www.bigbasket.com/media/uploads/p/s/40001334_6-kitchens-of-india-ready-to-eat-murgh-methi.jpg,4.6,45
Snacks Branded Foods,Ready To Cook Eat,Groceries,HappyChef,Hyderabadi Biryani Kit,130 g ,199.0,202212039,https://www.bigbasket.com/media/uploads/p/s/40214346_2-happychef-hyderabadi-biryani-kit.jpg,4.7,61
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"Korma Masala & Cashew Onion Ready to Eat All Purpose Gravy, 200 g",Combo 2 Items,200.0,202212040,https://www.bigbasket.com/media/uploads/p/s/1213034_1-itc-master-chef-korma-masala-cashew-onion-ready-to-eat-all-purpose-gravy-200-g.jpg,4.4,85
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"Tomato Makhani & Korma Masala Ready to Eat All Purpose Gravy, 200 g",Combo 2 Items,200.0,202212041,https://www.bigbasket.com/media/uploads/p/s/1213033_1-itc-master-chef-tomato-makhani-korma-masala-ready-to-eat-all-purpose-gravy-200-g.jpg,4.8,83
Snacks Branded Foods,Ready To Cook Eat,Groceries,TATA Q,Heat To Eat - Spicy Vegetable Biryani,330 g ,99.0,202212042,https://www.bigbasket.com/media/uploads/p/s/40180762_5-tata-q-heat-to-eat-spicy-vegetable-biryani.jpg,4.5,83
Snacks Branded Foods,Ready To Cook Eat,Groceries,ITC Master Chef,"Hyderabadi Biryani & Butter Chicken Ready to Eat Masala Paste, 80 g",Combo 2 Items,150.0,202212043,https://www.bigbasket.com/media/uploads/p/s/1213031_1-itc-master-chef-hyderabadi-biryani-butter-chicken-ready-to-eat-masala-paste-80-g.jpg,4.1,84
