orderid,productid,userid,subproductid,totalprice,orderdate,quantity
1,202214397,10001,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
1,202214400,10001,350 g Pouch ,0,2022-03-25 23:52:36.958531,1
1,202214393,10001,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
1,202214394,10001,350 g ,0,2022-03-25 23:52:36.958531,1
1,202214393,10001,160 g Pouch,0,2022-03-25 23:52:36.958531,1
2,202214396,10002,160 g Pouch ,0,2022-03-25 23:52:36.958531,1
2,202214391,10002,60 g (Pack of 4),0,2022-03-25 23:52:36.958531,1
2,202214398,10002,60 g ,0,2022-03-25 23:52:36.958531,1
2,202214397,10002,290 g ,0,2022-03-25 23:52:36.958531,1
2,202214399,10002,100 g Pouch ,0,2022-03-25 23:52:36.958531,1
3,202214399,10003,300 g Carton,0,2022-03-25 23:52:36.958531,1
3,202214392,10003,300 g Carton,0,2022-03-25 23:52:36.958531,1
3,202214393,10003,285 g Carton,0,2022-03-25 23:52:36.958531,1
3,202214396,10003,2x80 g Multipack ,0,2022-03-25 23:52:36.958531,1
3,202214393,10003,80 g  ,0,2022-03-25 23:52:36.958531,1
4,202214398,10004,200 g  ,0,2022-03-25 23:52:36.958531,1
4,202214396,10004,300 g ,0,2022-03-25 23:52:36.958531,1
4,202214397,10004,200 g  ,0,2022-03-25 23:52:36.958531,1
4,202214400,10004,250 g Carton,0,2022-03-25 23:52:36.958531,1
4,202225965,10004,2x80 g Multipack ,0,2022-03-25 23:52:36.958531,1
5,202225973,10005,200 g  ,0,2022-03-25 23:52:36.958531,1
5,202225969,10005,80 g  ,0,2022-03-25 23:52:36.958531,1
5,202225957,10005,255 g ,0,2022-03-25 23:52:36.958531,1
5,202225973,10005,250 g Carton,0,2022-03-25 23:52:36.958531,1
5,202225964,10005,285 g ,0,2022-03-25 23:52:36.958531,1
6,202225972,10006,285 g Carton,0,2022-03-25 23:52:36.958531,1
6,202225975,10006,285 g ,0,2022-03-25 23:52:36.958531,1
6,202225964,10006,300 g Pouch,0,2022-03-25 23:52:36.958531,1
6,202225957,10006,300 g Carton,0,2022-03-25 23:52:36.958531,1
6,202225966,10006,285 g Carton,0,2022-03-25 23:52:36.958531,1
7,202225973,10007,300 g ,0,2022-03-25 23:52:36.958531,1
