Customer ID,Order ID,Product ID in Orders,Ordered by Customer ID,Times Reordered by Same Customer,Brand Name,Product Name,Weight
10001,1,202214397,10001,19,iD Fresho,"Idly Dosa Batter, 1 Kg + Malabar Parota, 350 g",Combo 2 Items
10002,1,202214400,10001,52,iD Fresho,Malabar Parota/Paratha,350 g Pouch 
10003,1,202214393,10001,23,iD Fresho,"Whole Wheat Parota, 350 g + Malabar Parota, 350 g",Combo 2 Items
10004,1,202214394,10001,5,iD,Wheat Chapati,350 g 
10005,1,202214393,10001,13,MTR,Breakfast Mix - Khaman Dhokla,160 g Pouch
10006,2,202214396,10002,40,MTR,Breakfast Mix - Upma,160 g Pouch 
10007,2,202214391,10002,43,MTR,Minute Pepper Rasam,60 g (Pack of 4)
10008,2,202214398,10002,12,MTR,Minute Garlic Rasam,60 g 
10009,2,202214397,10002,51,TATA Q,Heat To Eat - Cheesy Pasta With Black Olives,290 g 
10010,2,202214399,10002,20,MTR,Masala - Pav Bhaji,100 g Pouch 
10011,3,202214399,10003,7,MTR,Ready To Eat - Dal Makhani,300 g Carton
10012,3,202214392,10003,19,MTR,Ready To Eat - Bisibele Bhath,300 g Carton
10013,3,202214393,10003,16,Kitchens Of India,Ready to Eat - Dal Makhani,285 g Carton
10014,3,202214396,10003,46,ITC Master Chef,Paneer Makhani Cooking Masala Paste,2x80 g Multipack 
10015,3,202214393,10003,48,ITC Master Chef,"Cooking Paste - Vegetable Biryani, Easy To Cook, Ready to Cook Indian Paste",80 g  
10016,4,202214398,10004,50,ITC Master Chef,"All-Purpose Gravy - Onion Cashew, Pre-Cooked Indian Gravy",200 g  
10017,4,202214396,10004,43,MTR,Ready To Eat - Palak Paneer,300 g 
10018,4,202214397,10004,44,ITC Master Chef,"All-Purpose Gravy - Tomato Makhani, Easy & Quick, Pre-Cooked Indian Gravy",200 g  
10019,4,202214400,10004,42,MTR,Ready To Eat - Vegetable Pulao,250 g Carton
10020,4,202225965,10004,4,ITC Master Chef,Butter Chicken Cooking Masala Paste,2x80 g Multipack 
10021,5,202225973,10005,44,ITC Master Chef,"All-Purpose Gravy - Korma Masala, Pre-Cooked Indian Gravy, No Preservatives",200 g  
10022,5,202225969,10005,11,ITC Master Chef,"Cooking Paste - Hyderabadi Biryani, Ready To Cook Indian Paste, No Preservatives",80 g  
10023,5,202225957,10005,45,HappyChef,Thai Red Curry Kit,255 g 
10024,5,202225973,10005,27,MTR,Ready To Eat - Jeera Rice,250 g Carton
10025,5,202225964,10005,43,Kitchens Of India,Ready To Eat - Chicken Darbari,285 g 
10026,6,202225972,10006,33,Kitchens Of India,Ready to Eat - Pindi Chana,285 g Carton
10027,6,202225975,10006,43,Kitchens Of India,Ready To Eat - Mughlai Paneer,285 g 
10028,6,202225964,10006,52,MTR,Ready To Eat - Dal Fry,300 g Pouch
10029,6,202225957,10006,16,MTR,Ready To Eat - Muttar Paneer,300 g Carton
10030,6,202225966,10006,34,Kitchens Of India,Ready To Eat - Rajma Masala,285 g Carton
10031,7,202225973,10007,6,MTR,Ready To Eat - Rajma Masala,300 g 
10032,7,202225975,10007,18,MTR,Ready To Eat - Paneer Tikka Masala,300 g Carton
10033,7,202225961,10007,16,MTR,Mix - Paneer Butter Masala,300 g Pouch
10034,7,202225965,10007,22,ITC Master Chef,"Vegetable Biryani & Paneer Makhani Ready to Eat Cooking Masala Paste Combo, 80 g",Combo 2 Items
10035,7,202225971,10007,4,MTR,Ready To Eat - Sambar Rice,300 g Carton
10036,8,202225973,10008,50,ITC Master Chef,"Tomato Makhani & Cashew Onion Ready to Eat All Purpose Gravy, 200 g",Combo 2 Items
10037,8,202225971,10008,29,MTR,Ready To Eat - Paneer Makhani,300 g Carton
10038,8,202225967,10008,49,Kitchens Of India,Ready To Eat - Murgh Methi,285 g 
10039,8,202225963,10008,53,HappyChef,Hyderabadi Biryani Kit,130 g 
10040,8,202214349,10008,37,ITC Master Chef,"Korma Masala & Cashew Onion Ready to Eat All Purpose Gravy, 200 g",Combo 2 Items
10041,9,202214340,10009,9,ITC Master Chef,"Tomato Makhani & Korma Masala Ready to Eat All Purpose Gravy, 200 g",Combo 2 Items
10042,9,202214342,10009,13,TATA Q,Heat To Eat - Spicy Vegetable Biryani,330 g 
10043,9,202214344,10009,4,ITC Master Chef,"Hyderabadi Biryani & Butter Chicken Ready to Eat Masala Paste, 80 g",Combo 2 Items
10044,9,202214347,10009,29,Kitchens Of India,Ready To Eat - Dal Bukhara,285 g 
10045,9,202214346,10009,39,MTR,Ready To Eat - Pongal,300 g Carton
10046,10,202214344,10010,45,ChefBoss,Hyderabadi Biryani Masala Paste - Ready To Cook,2x150 g Multipack 
10047,10,202214348,10010,44,ITC Master Chef,"Cooking Paste - Masaledar Mutton, Easy To Cook, Ready To Cook Indian Paste",80 g  
10048,10,202214341,10010,29,ChefBoss,Honey Chilli Stir Fry Sauce & Dip,2x175 g Multipack 
10049,10,202214343,10010,40,Johnson's baby,Buds,75 Stems/150 Swabs  
10050,10,202214346,10010,33,Colin,Gadget Cleaner Spray Sparkling +  Harpic Power Plus Toilet Cleaner (each 500 ml),Combo 2 Items
10051,11,202214348,10011,39,Colin,Glass Cleaner Liquid Spray,3X500 ml Multipack 
10052,11,202214342,10011,28,Kiwi,Dranex Drain Cleaner,50 g (Pack of 6)
10053,11,202214342,10011,2,Mr Muscle,Kitchen Cleaner - Powers Through Grease & Grime,500 ml 
10054,11,202214341,10011,49,bb Combo,Colin Cleaner - Glass and Household 500 ml + Scotch Brite Sponge Wipe Large 1 pc,Combo 2 Items
10055,11,202214348,10011,9,Colin,"Glass Cleaner Liquid Refill Pack - Cleans Mirror, Car & Home Appliances",1 L  
10056,12,202214348,10012,13,Colin,Glass & Household Cleaner 500 ml + Glass Cleaner Liquid Refill Pack 1 L,Combo 2 Items
10057,12,202214341,10012,41,Kiwi,Dranex Drain Cleaner,375 g Bottle
